Security Symbol,Company Name (Thai),Company Name (English),Company Address (Thai),Company Address (English),Zip Code,Telephone Number,Fax Number,E-Mail Address,URL,Establishment Date,Listing Date,First Trading Date,Delisted Date,Security’s Listing Status,Market Type*,Industry Name*,Sector Name*,Type of Business (Thai),Type of Business (English),No. of Authorized Shares,No. of Paid-up Shares,No. of Listed Shares,CG Score,IPO Price,Par Value,Fiscal Year End Date,Currency
24CS,บริษัท ทเวนตี้ โฟร์ คอน แอนด์ ซัพพลาย จำกัด (มหาชน) ,Twenty-Four Con & Supply Public Company Limited ,เลขที่ 89 อาคาร เอไอเอ แคปปิตอล เซ็นเตอร์ ชั้น 9 ห้อง 901 ถนนรัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพมหานคร,"89 AIA Capital Center, 9th Floor, Unit 901 Ratchadaphisek Road, Din Daeng, Din Daeng Bangkok",10400,0-2248-1948 ,0-2248-1949 , ,http://www.24con-supply.com , ,03/10/2022,03/10/2022, ,Listed,mai,Property & Construction,,จำหน่ายอุปกรณ์ระบบปรับอากาศและรับเหมาติดตั้งระบบวิศวกรรมประกอบอาคาร,Distribution of HVAC system (Heating Ventilation and Air Conditioning System) and Mechanical Engineering service contractor,430000000.0,430000000.0,430000000.0,,3.4,0.5,31/12,THB 
2S,บริษัท 2 เอส เมทัล จำกัด (มหาชน) ,2S METAL PUBLIC COMPANY LIMITED ,8/5 หมู่ที่ 14 ตำบลท่าช้าง อำเภอบางกล่ำ สงขลา,"8/5 Moo 14, Tha-change, Bangklam District Songkhla",90110,0-7480-0111 ,0-7480-1286 , ,http://www.ss.co.th ,29/05/1992,02/09/2009,02/09/2009, ,Listed,SET,Industrials,Steel,แปรรูปเหล็กรูปพรรณ และจัดหาเหล็กรูปพรรณเพื่อจำหน่าย,Manufacturing and Distribution of steel products,549997741.0,549995954.0,549995954.0,4.0,1.9,1.0,31/12,THB 
3K-BAT,บริษัท ไทย เอ็นเนอร์จี สโตเรจ เทคโนโลยี จำกัด (มหาชน) ,THAI ENERGY STORAGE TECHNOLOGY PUBLIC COMPANY LIMITED ,387 หมู่ 4 ถนนสุขุมวิท ตำบลแพรกษา อำเภอเมืองสมุทรปราการ สมุทรปราการ,"387 Moo 4, Sukhumvit Rd., Phraek Sa Sub-district, Mueang Samut Prakan District Samut Prakarn",10280,0-2709-3535 ,0-2393-2509 / 0-2709-4965 , , ,01/10/2020,01/10/2020,05/10/2020, ,Listed,SET,Industrials,Automotive,ผลิตและจำหน่ายแบตเตอรี่หลากหลายรูปแบบ ได้แก่ 1) แบตเตอรี่สำหรับรถยนต์ 2) แบตเตอรี่สำหรับรถจักรยานยนต์ 3) แบตเตอรี่สำหรับรถฟอล์คลิฟท์ 4) แบตเตอรี่สำหรับรถกอล์ฟ 5) แบตเตอรี่สำหรับโซลาร์เซลล์ และ 6) แบตเตอรี่แสงสว่าง,Manufacture and distribute various types of battery including 1) Automotive Batteries 2) Motorcycle Batteries 3) Electric Forklift Batteries 4) Golf Cart Batteries 5) EB Batteries 6) Lighting Batteries,78400000.0,78400000.0,78400000.0,,,10.0,31/03,THB 
7UP,บริษัท เซเว่น ยูทิลิตี้ส์ แอนด์ พาวเวอร์ จำกัด (มหาชน) ,SEVEN UTILITIES AND POWER PUBLIC COMPANY LIMITED ,73 อาคารมหาชล ซอยสุขุมวิท 62 ถนนสุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กทม.,"73 Mahachol Building, Soi Sukhumvit 62, Sukhumvit Road, Phrakhanong Tai, Phrakhanong Bangkok",10260,0-2741-5700 ,0-2741-5724 , ,http://www.sevenup.co.th ,18/9/1995 ,03/04/2002,03/04/2002,,Listed,SET,Resources,Energy & Utilities,กลุ่มบริษัทประกอบธุรกิจหลัก 3 ธุรกิจ ได้แก่ 1) กลุ่มธุรกิจสถานีบริการแก๊สและน้ำมัน 2) กลุ่มธุรกิจพลังงานทดแทน 3) กลุ่มธุรกิจสาธารณูปโภค,The current main businesses of the company can be divided into 3 business types as follows; 1)Gas and oil service stations business 2)Renewable Energy business 3)Utilities business,5143071814.0,5143071814.0,5143071814.0,4.0,21.0,0.5,31/12,THB
A,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน) ,AREEYA PROPERTY PUBLIC COMPANY LIMITED ,999 ถนนประดิษฐ์มนูธรรม แขวงสะพานสอง เขตวังทองหลาง กทม.,"999 Praditmanutham road, Saphansong, Wangthonglang Bangkok",10310,"0-2798-9999, 1797 ",0-2798-9990 , ,http://www.areeya.co.th ,20/1/2000 ,01/04/2004,01/04/2004, ,Listed,SET,Property & Construction,Property Development,ธุรกิจอสังหาริมทรัพย์ แบ่งเป็น 3 ประเภท 1) โครงการบ้านเดี่ยว โดยจะขายที่ดินเปล่าซึ่งเป็นกรรมสิทธิ์ของบริษัท และรับจ้างปลูกสร้างบ้านบนที่ดินนั้น หรือขายที่ดินพร้อมบ้านสร้างเสร็จ 2) โครงการทาวน์เฮาส์ และ 3) โครงการคอนโดมิเนียม โดยเน้นทำเลใจกลางเมืองบริษัทมีการพัฒนาโครงการประเภทธุรกิจศูนย์การค้าหรือคอมมิวนิตี้มอลล์ ในชื่อว่า Pickadaily Bangkok,"The Company engages in the development of property business. It offers three types of products: 1) single-detached houses; sells land and then constructs house on the said land or sells land with completely built house, 2) townhouse and 3) condominium projects.The company has initiated to develop the community mall named Pickadaily Bangkok.",1200000000.0,980000000.0,980000000.0,3.0,9.0,1.0,31/12,THB 
A5,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน) ,ASSET FIVE GROUP PUBLIC COMPANY LIMITED ,เลขที่ 349 อาคารเอสเจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้นที่ 19 ยูนิต 1901 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม.,"349 SJ Infinite I Business Complex 19th Floor 1901 Unit Vibhavadi-Rangsit Road, Chomphon Chatuchak Bangkok",10900,0-2026-3512 ,0-2026-3513 , ,http://www.assetfive.co.th ,19/09/2002,17/11/2003,17/11/2003, ,Listed,mai,Property & Construction,,ประกอบธุรกิจลงทุนในบริษัทอื่น โดยมีนโยบายลงทุนในบริษัทที่ประกอบธุรกิจอสังหาริมทรัพย์ และธุรกิจที่เกี่ยวข้อง (Holding Company),conducts business of investing in other companies with the policy to invest in the companies of real estate and related business (Holding Company),1451261537.0,1209384615.0,1209384615.0,3.0,3.5,0.5,31/12,THB 
AA,บริษัท ดั๊บเบิ้ล เอ (1991) จำกัด (มหาชน) ,DOUBLE A (1991) PUBLIC COMPANY LIMITED ,1 หมู่ 2 ตำบลท่าตูม อำเภอศรีมหาโพธิ ปราจีนบุรี,"1 MOO 2, TAMBOL THA TOOM, AMPHOE SI MAHA PHOT Prachinburi",25140,0-3720-8800 ,0-3720-8850-1 , ,http://www.advanceagro.com ,08/08/1991,08/02/1995,08/02/1995,17/04/2008,Delisted,SET,Industrials,Paper & Printing Materials,,,630000000.0,532383108.0,532383108.0,,59.0,10.0,31/12,THB 
AAI,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน) ,Asian Alliance International Public Company Limited ,55/2 หมู่ที่ 2 ถนนพระราม 2 ตำบลบางกระเจ้า อำเภอเมืองสมุทรสาคร สมุทรสาคร,"55/2 Moo 2, Rama 2 Road, Bang Krachao, Muang Samut Sakhon",74000,0-3484-5575-87 ,0-3484-5546 , ,http://www.asianalliance.co.th ,2005 ,01/11/2022,01/11/2022, ,Listed,SET,Agro & Food Industry,Food and Beverage,ธุรกิจรับจ้างผลิตและจำหน่ายอาหารสัตว์เลี้ยง (Pet food) อาหารพร้อมทานบรรจุภาชนะปิดผนึก (Human food) และผลิตภัณฑ์ผลพลอยได้จากการแปรรูปปลาทูน่า,"Original equipment manufacturer (OEM) and distributor of pet food, shelf-stable human food, and by-products of tuna processing.",2125000000.0,2125000000.0,2125000000.0,,5.55,1.0,31/12,THB 
AAV,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน) ,ASIA AVIATION PUBLIC COMPANY LIMITED ,222 ท่าอากาศยานดอนเมืองอาคารส่วนกลางชั้น 3 ห้อง 3200 ถ.วิภาวดีรังสิต แขวงสนามบิน เขตดอนเมือง กทม.,"222, Don Mueang International Airport, 3rd Fl., Central Office Bldg., Room no. 3200, Vibhavadee Rangsit Road, Don Mueang, Bangkok",10210,0-2562-5700 ,0-2562-5705 , ,http://www.aavplc.com ,14/2/2006 ,31/05/2012,31/05/2012,,Listed,SET,Services,Transportation & Logistics,ประกอบธุรกิจด้านการลงทุนโดยการถือหุ้นในบริษัทอื่น (Holding Company) โดยในปัจจุบัน บริษัทถือหุ้นใน บริษัท ไทยแอร์เอเชีย จำกัดเพียงแห่งเดียว สำหรับบริษัท ไทยแอร์เอเชีย จำกัด ประกอบธุรกิจให้บริการสายการบินราคาประหยัด โดยมีรายได้หลักจากการให้บริการขนส่งผู้โดยสารแบบประจำ (Scheduled Passenger Services) และการให้บริการเสริม (Ancillary Services),"The Company operates as a holding company, the Company holds only Thai AirAsia Co., Ltd , a low fare airline . Thai AirAsia Co., Ltd.'s revenues are mainly from scheduled passenger services and ancillary services.",12850000000.0,12849999997.0,12849999997.0,5.0,3.7,0.1,31/12,THB
ABICO,บริษัท เอบิโก้ โฮลดิ้งส์ จำกัด (มหาชน) ,ABICO HOLDINGS PUBLIC COMPANY LIMITED ,401/1หมู่ที่ 8 อาคารเอบิโก้ ชั้น 5 ถนนพหลโยธิน ตำบลคูคต อำเภอลำลูกกา ปทุมธานี,"401/1 Moo 8, 5th floor ABICO Building, Phaholyothin Road, KhukhotSub-district, Lumlookka District Pathum Thani",12130,0-2080-7899 ,0-2080-7805 , ,http://www.abicogroup.com ,26/11/1984,27/04/1990,27/04/1990,04/01/2023,Delisted,mai,Agro & Food Industry,,ดำเนินธุรกิจลงทุน (Holding Company) ในธุรกิจรับจ้างผลิต พัฒนาที่ดิน และฟาร์มโคนม,"The Company's main business is investment related (Holding Company) to production and distribution of ready-to-drink milk, real estate development and dairy farm.",244397239.0,244397239.0,244397239.0,,70.0,1.0,31/12,THB 
